<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20190102,060000,69.3169000,69.7421000,68.7750000,69.3166000,667
USDRUB,60,20190102,070000,69.2158000,69.7254000,68.9839000,69.6134000,195
USDRUB,60,20190102,080000,69.5844000,69.6811000,69.3118000,69.3195000,382
USDRUB,60,20190102,090000,69.3295000,69.5468000,69.3079000,69.3151000,45
USDRUB,60,20190102,100000,69.3962000,69.6606000,69.3521000,69.5968000,439
USDRUB,60,20190102,110000,69.6143000,69.6484000,69.5575000,69.5803000,566
USDRUB,60,20190102,120000,69.5978000,69.7338000,69.5689000,69.6264000,330
USDRUB,60,20190102,130000,69.6747000,69.7140000,69.6025000,69.6441000,214
USDRUB,60,20190102,140000,69.6362000,69.7049000,69.4845000,69.6410000,557
USDRUB,60,20190102,150000,69.6630000,69.8083000,69.4421000,69.6836000,1555
USDRUB,60,20190102,160000,69.7011000,69.7222000,69.5010000,69.5732000,931
USDRUB,60,20190102,170000,69.5970000,69.6900000,69.5267000,69.5540000,2637
USDRUB,60,20190102,180000,69.5967000,69.7205000,69.5500000,69.6400000,1667
USDRUB,60,20190102,190000,69.6575000,69.7109000,69.5192000,69.5285000,2801
USDRUB,60,20190102,200000,69.5582000,69.6700000,69.5000000,69.6126000,4724
USDRUB,60,20190102,210000,69.6346000,69.7036000,69.4676000,69.4955000,2196
USDRUB,60,20190102,220000,69.5165000,69.5431000,68.6951000,68.7788000,7470
USDRUB,60,20190102,230000,68.7710000,68.8733000,68.6346000,68.7818000,6950
USDRUB,60,20190103,000000,68.7966000,68.8692000,68.6526000,68.7167000,1596
USDRUB,60,20190103,010000,68.7387000,68.8908000,68.6201000,68.8331000,5859
USDRUB,60,20190103,020000,68.8548000,68.9290000,68.7168000,68.7960000,473
USDRUB,60,20190103,030000,68.8135000,69.1008000,68.7734000,68.9165000,885
USDRUB,60,20190103,040000,68.9450000,69.1765000,68.6354000,69.1260000,712
USDRUB,60,20190103,050000,69.1368000,69.4293000,69.0050000,69.2317000,584
USDRUB,60,20190103,060000,69.1656000,69.3470000,68.8355000,69.0380000,224
USDRUB,60,20190103,070000,69.0678000,69.0678000,68.8550000,69.0657000,266
USDRUB,60,20190103,080000,69.0071000,69.0695000,68.8532000,69.0519000,194
USDRUB,60,20190103,090000,69.0694000,69.2220000,68.9705000,69.1775000,130
USDRUB,60,20190103,100000,69.1950000,69.3355000,68.9738000,69.2125000,72
USDRUB,60,20190103,110000,69.2765000,69.3000000,68.9792000,69.2165000,278
USDRUB,60,20190103,120000,69.2590000,69.2598000,69.1330000,69.1713000,590
USDRUB,60,20190103,130000,69.1952000,69.3418000,69.1330000,69.3035000,550
USDRUB,60,20190103,140000,69.3156000,69.5188000,68.9591000,69.2828000,26422
USDRUB,60,20190103,150000,69.2920000,69.3825000,68.9925000,69.0804000,17932
USDRUB,60,20190103,160000,69.0788000,69.0928000,68.8046000,69.0308000,21295
USDRUB,60,20190103,170000,69.0299000,69.1693000,69.0125000,69.1413000,13153
USDRUB,60,20190103,180000,69.1253000,69.2302000,68.9615000,68.9979000,12936
USDRUB,60,20190103,190000,68.9966000,69.0632000,68.8589000,68.9665000,12876
USDRUB,60,20190103,200000,68.9611000,68.9855000,68.6851000,68.8251000,25925
USDRUB,60,20190103,210000,68.8251000,68.9738000,68.6954000,68.8290000,29101
USDRUB,60,20190103,220000,68.8651000,68.9138000,68.7238000,68.7865000,30930
USDRUB,60,20190103,230000,68.8149000,68.8149000,68.5250000,68.6210000,31029
USDRUB,60,20190104,000000,68.6210000,68.6988000,68.4775000,68.5188000,15098
USDRUB,60,20190104,010000,68.5100000,68.6538000,68.4913000,68.6320000,14344
USDRUB,60,20190104,020000,68.6270000,68.6689000,68.5259000,68.6160000,13576
USDRUB,60,20190104,030000,68.6217000,68.8319000,68.5875000,68.7099000,10525
USDRUB,60,20190104,040000,68.7380000,69.1387000,68.5488000,68.6917000,797
USDRUB,60,20190104,050000,68.7588000,69.0195000,68.6642000,68.9961000,210
USDRUB,60,20190104,060000,68.8968000,69.4699000,68.6982000,69.4699000,689
USDRUB,60,20190104,070000,69.1742000,69.4795000,68.6934000,69.4260000,359
USDRUB,60,20190104,080000,69.0838000,69.0838000,68.6917000,68.9092000,34
USDRUB,60,20190104,090000,68.8870000,69.1151000,68.8870000,68.9540000,662
USDRUB,60,20190104,100000,68.9334000,69.0184000,68.8934000,68.9001000,384
USDRUB,60,20190104,110000,68.9334000,69.1023000,68.6457000,68.6758000,634
USDRUB,60,20190104,120000,68.6572000,68.7557000,68.6150000,68.6512000,1149
USDRUB,60,20190104,130000,68.6555000,68.9598000,68.6059000,68.6424000,544
USDRUB,60,20190104,140000,68.6713000,68.6713000,68.2540000,68.3598000,26647
