<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190117,15:00:00,202.9500000,203.2500000,202.6500000,203.0900000,3332420
SBER,60,20190117,16:00:00,203.0900000,203.1600000,201.7100000,201.9100000,5926340
SBER,60,20190117,17:00:00,201.9000000,202.4800000,201.8100000,202.3300000,3243490
SBER,60,20190117,18:00:00,202.2900000,202.8100000,201.2300000,202.5500000,6726240
SBER,60,20190117,19:00:00,202.5600000,203.3200000,202.2500000,203.3200000,6028760
SBER,60,20190118,11:00:00,204.6000000,205.5000000,204.3200000,204.7400000,11740620
SBER,60,20190118,12:00:00,204.7100000,205.7800000,204.2000000,205.2900000,8778920
SBER,60,20190118,13:00:00,205.1900000,205.4100000,204.7200000,205.3800000,2620570
SBER,60,20190118,14:00:00,205.3600000,205.6400000,204.2300000,204.5300000,5740860
SBER,60,20190118,15:00:00,204.5500000,205.2500000,203.8300000,205.1500000,5794880
SBER,60,20190118,16:00:00,205.1500000,205.5000000,204.7700000,205.1500000,5717820
SBER,60,20190118,17:00:00,205.1500000,205.9500000,205.1000000,205.8200000,5641490
SBER,60,20190118,18:00:00,205.8200000,207.8000000,205.5300000,207.7800000,13452920
SBER,60,20190118,19:00:00,207.7600000,208.4400000,207.3400000,208.4400000,14671340
SBER,60,20190121,11:00:00,208.9200000,209.5500000,207.7000000,208.6300000,13120930
SBER,60,20190121,12:00:00,208.6300000,208.7000000,207.4400000,207.5700000,5706170
SBER,60,20190121,13:00:00,207.5700000,207.8900000,207.3900000,207.5200000,2755940
SBER,60,20190121,14:00:00,207.5600000,208.8600000,207.5200000,208.6500000,5069250
SBER,60,20190121,15:00:00,208.6400000,209.2300000,208.3700000,208.9000000,4251840
SBER,60,20190121,16:00:00,208.9100000,210.2000000,208.9000000,209.7300000,8315430
SBER,60,20190121,17:00:00,209.7700000,209.9900000,209.4500000,209.4600000,3203500
SBER,60,20190121,18:00:00,209.4600000,209.8100000,207.7100000,207.9600000,6618060
SBER,60,20190121,19:00:00,207.9500000,208.5000000,207.1700000,207.1700000,6360510
SBER,60,20190122,11:00:00,206.6500000,208.4300000,205.6300000,206.7500000,10403230
SBER,60,20190122,12:00:00,206.7500000,208.3700000,206.2100000,207.8300000,6984590
SBER,60,20190122,13:00:00,207.8200000,208.8800000,206.6200000,207.0100000,6365260
SBER,60,20190122,14:00:00,207.0100000,207.3700000,206.7400000,206.8100000,2249840
SBER,60,20190122,15:00:00,206.8500000,207.0000000,205.7900000,206.3300000,4896360
SBER,60,20190122,16:00:00,206.3300000,207.6800000,206.2000000,207.0300000,3996050
SBER,60,20190122,17:00:00,207.0000000,207.7800000,206.5300000,206.7900000,2213990
SBER,60,20190122,18:00:00,206.8200000,207.6700000,206.3500000,207.6600000,3595410
SBER,60,20190122,19:00:00,207.6000000,207.9500000,206.2700000,207.9500000,10564890
SBER,60,20190123,11:00:00,207.7500000,209.5500000,207.5200000,209.4900000,11384850
SBER,60,20190123,12:00:00,209.4400000,209.4800000,208.5000000,209.2100000,7048620
SBER,60,20190123,13:00:00,209.1900000,209.9900000,208.8200000,209.8500000,9521380
SBER,60,20190123,14:00:00,209.8500000,211.7700000,209.5300000,211.1400000,15428340
SBER,60,20190123,15:00:00,211.0800000,211.5300000,210.4200000,211.4900000,7593210
SBER,60,20190123,16:00:00,211.4100000,212.0000000,211.1200000,211.5100000,5612130
SBER,60,20190123,17:00:00,211.5200000,211.9100000,210.1200000,211.0100000,8083700
SBER,60,20190123,18:00:00,211.0100000,211.7800000,210.9400000,211.0200000,7120310
SBER,60,20190123,19:00:00,211.0000000,211.2000000,210.1100000,210.4000000,7836640
SBER,60,20190124,11:00:00,210.4000000,210.4000000,208.5500000,209.7400000,14543560
SBER,60,20190124,12:00:00,209.7400000,211.4400000,209.5000000,211.0200000,10919530
SBER,60,20190124,13:00:00,211.0200000,213.1000000,210.6500000,213.0200000,13648370
SBER,60,20190124,14:00:00,213.0400000,213.4300000,211.9100000,212.2300000,7326110
SBER,60,20190124,15:00:00,212.1600000,212.5500000,211.5700000,212.5000000,5931570
SBER,60,20190124,16:00:00,212.5000000,212.5900000,211.8300000,212.2400000,3482930
SBER,60,20190124,17:00:00,212.2300000,213.1200000,211.1800000,211.5600000,8281250
SBER,60,20190124,18:00:00,211.6000000,212.3500000,211.4000000,211.9400000,6904430
SBER,60,20190124,19:00:00,211.9300000,212.3900000,211.5600000,212.2000000,7275140
SBER,60,20190125,11:00:00,212.7700000,214.1400000,212.7700000,213.7500000,10092170
SBER,60,20190125,12:00:00,213.7200000,213.9700000,213.1000000,213.4600000,5065590
SBER,60,20190125,13:00:00,213.4800000,213.6000000,212.4000000,212.6700000,9082720
SBER,60,20190125,14:00:00,212.7400000,213.4500000,212.4400000,213.1800000,4521080
SBER,60,20190125,15:00:00,213.1800000,213.4000000,212.8800000,212.9800000,2606540
SBER,60,20190125,16:00:00,212.9800000,213.1500000,212.5100000,213.0100000,3868110
SBER,60,20190125,17:00:00,213.0500000,213.8800000,213.0000000,213.1100000,6435490
SBER,60,20190125,18:00:00,213.1100000,213.5000000,212.0900000,212.8500000,6974050
SBER,60,20190125,19:00:00,212.8300000,212.8800000,211.0100000,212.0000000,9854270
SBER,60,20190128,11:00:00,212.0000000,213.1000000,211.2300000,213.1000000,7632260
SBER,60,20190128,12:00:00,213.0900000,213.3000000,211.5500000,211.9400000,5950880
SBER,60,20190128,13:00:00,211.9600000,212.1400000,210.7500000,211.4500000,5027710
SBER,60,20190128,14:00:00,211.4000000,211.9300000,211.2600000,211.7900000,2927060
SBER,60,20190128,15:00:00,211.7400000,212.4300000,211.7100000,211.9100000,3472290
SBER,60,20190128,16:00:00,211.9100000,212.4600000,211.8100000,211.9500000,2202610
SBER,60,20190128,17:00:00,211.9200000,212.3000000,211.0600000,211.3900000,3615140
SBER,60,20190128,18:00:00,211.3900000,211.5900000,208.2300000,208.5400000,14209000
SBER,60,20190128,19:00:00,208.5500000,209.7000000,207.6300000,209.7000000,11347980
SBER,60,20190129,11:00:00,209.7100000,209.7100000,207.5000000,207.7200000,9204220
SBER,60,20190129,12:00:00,207.7500000,208.8900000,206.9100000,208.8400000,7600920
SBER,60,20190129,13:00:00,208.8400000,209.6500000,208.6000000,209.5000000,6430830
SBER,60,20190129,14:00:00,209.4900000,210.5300000,209.0000000,210.1700000,5241780
SBER,60,20190129,15:00:00,210.1500000,210.4000000,209.5000000,210.4000000,2324240
SBER,60,20190129,16:00:00,210.3600000,210.5200000,209.6300000,209.8200000,2880690
SBER,60,20190129,17:00:00,209.8200000,211.2000000,209.8100000,210.9600000,5350460
SBER,60,20190129,18:00:00,210.9600000,213.3000000,210.9600000,212.9400000,11824230
SBER,60,20190129,19:00:00,212.9200000,214.4900000,212.2100000,213.6100000,13038820
SBER,60,20190130,11:00:00,213.8000000,215.0800000,213.1000000,214.8500000,10897820
SBER,60,20190130,12:00:00,214.8400000,215.7000000,214.3000000,215.2200000,8848760
SBER,60,20190130,13:00:00,215.2000000,215.2800000,213.3500000,213.9900000,8449330
SBER,60,20190130,14:00:00,214.0000000,214.5500000,213.6500000,214.2300000,3391170
SBER,60,20190130,15:00:00,214.2300000,215.1000000,213.8000000,214.8500000,5054190
SBER,60,20190130,16:00:00,214.8500000,214.9000000,214.1500000,214.1500000,3201230
SBER,60,20190130,17:00:00,214.2200000,214.3000000,213.5500000,213.8200000,4723710
SBER,60,20190130,18:00:00,213.8200000,214.4900000,213.2300000,213.3300000,5196000
SBER,60,20190130,19:00:00,213.3300000,213.3300000,212.2200000,213.1400000,9519450
SBER,60,20190131,11:00:00,215.1700000,216.7100000,214.6700000,216.3100000,17109880
SBER,60,20190131,12:00:00,216.3200000,218.0400000,215.9700000,217.0800000,18199150
SBER,60,20190131,13:00:00,217.1100000,217.6500000,216.3700000,217.2500000,8222090
SBER,60,20190131,14:00:00,217.2700000,217.4900000,216.6100000,217.1000000,5001550
SBER,60,20190131,15:00:00,217.1700000,218.1000000,216.9000000,217.6400000,7230510
